altitude,time
3936.63,13.69
3938.98,13.7
3939.97,13.71
3942.44,13.72
3944.3,13.73
3945.66,13.74
3947.39,13.75
3947.39,13.76
3949.74,13.77
3953.09,13.78
3955.32,13.79
3956.93,13.8
3958.79,13.81
3960.4,13.82
3962.51,13.83
3964.62,13.84
3965.48,13.85
3967.47,13.86
3967.47,13.87
3969.08,13.88
3972.31,13.89
3974.17,13.9
3976.53,13.91
3977.77,13.92
3978.64,13.93
3980.75,13.94
3982.86,13.95
3983.98,13.96
3985.85,13.97
3985.85,13.98
3987.84,13.99
3990.2,14
3992.31,14.01
3994.05,14.02
3996.29,14.03
3998.29,14.04
3999.9,14.05
4002.27,14.06
4004.14,14.07
4006.75,14.08
4006.75,14.09
4008.87,14.1
4012.49,14.11
4014.23,14.12
4016.72,14.13
4018.47,14.14
4020.72,14.15
4023.21,14.16
4025.21,14.17
4026.96,14.18
4028.7,14.19
4028.7,14.2
4031.08,14.21
4035.82,14.22
4037.82,14.23
4040.82,14.24
4042.07,14.25
4043.7,14.26
4045.45,14.27
4048.2,14.28
4050.33,14.29
4052.83,14.3
4052.83,14.31
4055.34,14.32
4057.84,14.33
4059.35,14.34
4061.73,14.35
4063.48,14.36
4065.24,14.37
4068.12,14.38
4069.37,14.39
4070.88,14.4
4073.14,14.41
4073.14,14.42
4075.39,14.43
4078.91,14.44
4080.41,14.45
4081.92,14.46
4083.8,14.47
4086.07,14.48
4087.07,14.49
4089.08,14.5
4091.72,14.51
4093.98,14.52
4093.98,14.53
4096.25,14.54
4098.89,14.55
4101.15,14.56
4102.66,14.57
4104.05,14.58
4106.06,14.59
4107.45,14.6
4109.08,14.61
4111.48,14.62
4113.24,14.63
4113.24,14.64
4115.89,14.65
4118.91,14.66
4120.42,14.67
4121.81,14.68
4122.95,14.69
4124.46,14.7
4126.98,14.71
4127.74,14.72
4129.51,14.73
4131.02,14.74
4131.02,14.75
4132.66,14.76
4135.82,14.77
4138.47,14.78
4139.36,14.79
4141.38,14.8
4143.27,14.81
4144.16,14.82
4146.56,14.83
4147.82,14.84
4149.72,14.85
4149.72,14.86
4153.39,14.87
4155.29,14.88
4156.81,14.89
4158.7,14.9
4161.11,14.91
4162.88,14.92
4164.4,14.93
4166.56,14.94
4167.57,14.95
4169.22,14.96
4169.22,14.97
4171.88,14.98
4173.4,14.99
4175.56,15
4178.09,15.01
4181.14,15.02
4182.66,15.03
4184.06,15.04
4185.71,15.05
4187.61,15.06
4189.52,15.07
4189.52,15.08
4192.82,15.09
4195.87,15.1
4197.52,15.11
4198.79,15.12
4200.83,15.13
4202.74,15.14
4205.02,15.15
4206.17,15.16
4207.7,15.17
4210.24,15.18
4210.24,15.19
4212.53,15.2
4215.33,15.21
4217.5,15.22
4220.05,15.23
4221.83,15.24
4222.34,15.25
4224.64,15.26
4227.06,15.27
4228.21,15.28
4230.63,15.29
4230.63,15.3
4232.29,15.31
4235.61,15.32
4237.14,15.33
4239.18,15.34
4240.59,15.35
4242.63,15.36
4244.54,15.37
