time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
2.1,25.06,88222,1152.73,214.14,116.87,26,9.05,9.02,9.08
2.11,25.06,88204,1154.41,215.81,117.12,26,9.05,9.02,9.07
2.12,25.06,88179,1156.74,218.14,117.37,26,9.07,9.03,9.08
2.13,25.05,88170,1157.58,218.98,117.62,26,9.07,9.05,9.07
2.14,25.05,88159,1158.6,220.01,117.87,26,9.07,9.05,9.07
2.15,25.05,88152,1159.25,220.66,118.12,26,9.07,9.03,9.08
2.16,25.04,88141,1160.28,221.68,118.37,26,9.07,9.03,9.08
2.17,25.04,88121,1162.14,223.55,118.62,26,9.07,9.03,9.08
2.18,25.04,88118,1162.42,223.83,118.87,26,9.07,9.03,9.08
2.19,25.04,88094,1164.66,226.06,119.12,26,9.07,9.03,9.08
2.2,25.03,88097,1164.38,225.78,119.36,26,9.02,9.03,9.07
2.21,25.03,88097,1164.38,225.78,119.61,26,9.05,9.02,9.08
2.22,25.03,88073,1166.62,228.02,119.86,26,9.05,9.03,9.07
2.23,25.03,88057,1168.11,229.51,120.11,26,9.07,9.03,9.07
2.24,25.03,88038,1169.88,231.29,120.36,26,9.05,9.03,9.08
2.25,25.03,88033,1170.35,231.75,120.61,26,9.07,9.03,9.07
2.26,25.04,88015,1172.03,233.43,120.86,26,9.07,9.03,9.07
2.27,25.04,88006,1172.87,234.27,121.11,26,9.07,9.03,9.07
2.28,25.05,87987,1174.64,236.04,121.36,26,9.07,9.03,9.08
2.29,25.05,87975,1175.76,237.16,121.61,26,9.07,9.03,9.08
2.3,25.06,87960,1177.16,238.56,121.86,26,9.07,9.03,9.07
2.31,25.07,87956,1177.53,238.94,122.11,26,9.02,9.02,9.07
2.32,25.08,87956,1177.53,238.94,122.36,26,9.05,9.03,9.08
2.33,25.09,87928,1180.15,241.55,122.61,26,9.05,9.03,9.07
2.34,25.1,87912,1181.64,243.05,122.85,26,9.07,9.03,9.07
2.35,25.12,87898,1182.95,244.35,123.1,26,9.07,9.03,9.07
2.36,25.13,87888,1183.88,245.29,123.35,26,9.07,9.03,9.08
2.37,25.15,87876,1185,246.41,123.6,26,9.07,9.03,9.07
2.38,25.17,87856,1186.87,248.28,123.85,26,9.07,9.03,9.08
2.39,25.19,87848,1187.62,249.02,124.09,26,9.07,9.03,9.08
2.4,25.21,87832,1189.11,250.52,124.34,26,9.07,9.03,9.07
2.41,25.24,87811,1191.08,252.48,124.59,26,9.07,9.03,9.08
2.42,25.26,87807,1191.45,252.86,124.84,26,9.02,9.03,9.07
2.43,25.29,87807,1191.45,252.86,125.08,26,9.05,9.03,9.08
2.44,25.32,87793,1192.76,254.16,125.33,26,9.05,9.02,9.07
2.45,25.35,87777,1194.26,255.66,125.58,26,9.07,9.03,9.08
2.46,25.38,87754,1196.41,257.81,125.83,26,9.07,9.03,9.07
2.47,25.41,87737,1198,259.4,126.09,26,9.07,9.03,9.07
2.48,25.44,87723,1199.31,260.71,126.34,26,9.07,9.05,9.08
2.49,25.48,87715,1200.05,261.46,126.59,26,9.07,9.03,9.08
2.5,25.51,87700,1201.46,262.86,126.84,26,9.07,9.03,9.08
2.51,25.55,87684,1202.95,264.36,127.1,26,9.07,9.03,9.08
2.52,25.59,87675,1203.8,265.2,127.35,26,9.07,9.03,9.08
2.53,25.63,87652,1205.95,267.36,127.6,26,9.02,9.02,9.07
2.54,25.68,87652,1205.95,267.36,127.85,26,9.05,9.02,9.08
2.55,25.72,87643,1206.79,268.2,128.11,26,9.05,9.03,9.07
2.56,25.77,87615,1209.41,270.82,128.36,26,9.05,9.03,9.07
2.57,25.82,87601,1210.73,272.13,128.62,26,9.05,9.03,9.07
2.58,25.86,87584,1212.32,273.72,128.88,26,9.07,9.03,9.08
2.59,25.92,87574,1213.25,274.66,129.13,26,9.07,9.05,9.08
2.6,25.97,87560,1214.57,275.97,129.39,26,9.07,9.03,9.07
2.61,26.02,87547,1215.78,277.19,129.65,26,9.07,9.03,9.08
2.62,26.08,87535,1216.91,278.31,129.91,26,9.07,9.05,9.08
2.63,26.13,87517,1218.59,280,130.17,26,9.05,9.03,9.07
2.64,26.19,87508,1219.44,280.84,130.43,26,9.02,9.03,9.07
2.65,26.25,87508,1219.44,280.84,130.69,26,9.05,9.03,9.08
2.66,26.32,87477,1222.34,283.75,130.95,26,9.05,9.03,9.07
2.67,26.38,87449,1224.97,286.38,131.21,26,9.07,9.03,9.08
2.68,26.45,87443,1225.53,286.94,131.47,26,9.07,9.03,9.07
2.69,26.51,87435,1226.28,287.69,131.73,26,9.07,9.03,9.08
2.7,26.58,87420,1227.69,289.1,132,26,9.07,9.03,9.07
2.71,26.65,87412,1228.44,289.85,132.26,26,9.05,9.03,9.07
2.72,26.72,87401,1229.47,290.88,132.52,26,9.05,9.03,9.08
2.73,26.8,87385,1230.97,292.38,132.79,26,9.07,9.05,9.08
2.74,26.87,87368,1232.57,293.98,133.05,26,9.07,9.03,9.08
2.75,26.95,87358,1233.51,294.91,133.32,26,9.02,9.02,9.07
2.76,27.03,87358,1233.51,294.91,133.58,26,9.05,9.03,9.08
2.77,27.11,87339,1235.29,296.7,133.85,26,9.05,9.02,9.07
